word,tag,category,subcategory,type
cuchara,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cucharas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cuchillo,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cuchillos,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
zapato,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
zapatos,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
bolso,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
bolsos,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
chaqueta,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
chaquetas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
camisa,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
camisas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pantalón,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pantalones,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sombrero,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sombreros,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
llave,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
llaves,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
lámpara,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
lámparas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
televisor,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
televisores,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
radio,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
radios,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cámara,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cámaras,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
auricular,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
auriculares,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
almohada,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
almohadas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
manta,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
mantas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
reunión,NOUN-INANIM-EVT,Noun,Inanimate,Event
reuniones,NOUN-INANIM-EVT,Noun,Inanimate,Event
boda,NOUN-INANIM-EVT,Noun,Inanimate,Event
bodas,NOUN-INANIM-EVT,Noun,Inanimate,Event
concierto,NOUN-INANIM-EVT,Noun,Inanimate,Event
conciertos,NOUN-INANIM-EVT,Noun,Inanimate,Event
partido,NOUN-INANIM-EVT,Noun,Inanimate,Event
partidos,NOUN-INANIM-EVT,Noun,Inanimate,Event
competición,NOUN-INANIM-EVT,Noun,Inanimate,Event
competiciones,NOUN-INANIM-EVT,Noun,Inanimate,Event
festival,NOUN-INANIM-EVT,Noun,Inanimate,Event
festivales,NOUN-INANIM-EVT,Noun,Inanimate,Event
vacaciones,NOUN-INANIM-EVT,Noun,Inanimate,Event
vacaciones,NOUN-INANIM-EVT,Noun,Inanimate,Event
cumpleaños,NOUN-INANIM-EVT,Noun,Inanimate,Event
cumpleaños,NOUN-INANIM-EVT,Noun,Inanimate,Event
funeral,NOUN-INANIM-EVT,Noun,Inanimate,Event
funerales,NOUN-INANIM-EVT,Noun,Inanimate,Event
exposición,NOUN-INANIM-EVT,Noun,Inanimate,Event
exposiciones,NOUN-INANIM-EVT,Noun,Inanimate,Event
rojo,ADJ-INT-COLOR,Adjective,Intersective,Color
roja,ADJ-INT-COLOR,Adjective,Intersective,Color
rojos,ADJ-INT-COLOR,Adjective,Intersective,Color
rojas,ADJ-INT-COLOR,Adjective,Intersective,Color
azul,ADJ-INT-COLOR,Adjective,Intersective,Color
azul,ADJ-INT-COLOR,Adjective,Intersective,Color
azules,ADJ-INT-COLOR,Adjective,Intersective,Color
azules,ADJ-INT-COLOR,Adjective,Intersective,Color
verde,ADJ-INT-COLOR,Adjective,Intersective,Color
verde,ADJ-INT-COLOR,Adjective,Intersective,Color
verdes,ADJ-INT-COLOR,Adjective,Intersective,Color
verdes,ADJ-INT-COLOR,Adjective,Intersective,Color
amarillo,ADJ-INT-COLOR,Adjective,Intersective,Color
amarilla,ADJ-INT-COLOR,Adjective,Intersective,Color
amarillos,ADJ-INT-COLOR,Adjective,Intersective,Color
amarillas,ADJ-INT-COLOR,Adjective,Intersective,Color
negro,ADJ-INT-COLOR,Adjective,Intersective,Color
negra,ADJ-INT-COLOR,Adjective,Intersective,Color
negros,ADJ-INT-COLOR,Adjective,Intersective,Color
negras,ADJ-INT-COLOR,Adjective,Intersective,Color
blanco,ADJ-INT-COLOR,Adjective,Intersective,Color
blanca,ADJ-INT-COLOR,Adjective,Intersective,Color
blancos,ADJ-INT-COLOR,Adjective,Intersective,Color
blancas,ADJ-INT-COLOR,Adjective,Intersective,Color
morado,ADJ-INT-COLOR,Adjective,Intersective,Color
morada,ADJ-INT-COLOR,Adjective,Intersective,Color
morados,ADJ-INT-COLOR,Adjective,Intersective,Color
moradas,ADJ-INT-COLOR,Adjective,Intersective,Color
naranja,ADJ-INT-COLOR,Adjective,Intersective,Color
naranja,ADJ-INT-COLOR,Adjective,Intersective,Color
naranjas,ADJ-INT-COLOR,Adjective,Intersective,Color
naranjas,ADJ-INT-COLOR,Adjective,Intersective,Color
rosa,ADJ-INT-COLOR,Adjective,Intersective,Color
rosa,ADJ-INT-COLOR,Adjective,Intersective,Color
rosas,ADJ-INT-COLOR,Adjective,Intersective,Color
rosas,ADJ-INT-COLOR,Adjective,Intersective,Color
gris,ADJ-INT-COLOR,Adjective,Intersective,Color
gris,ADJ-INT-COLOR,Adjective,Intersective,Color
grises,ADJ-INT-COLOR,Adjective,Intersective,Color
grises,ADJ-INT-COLOR,Adjective,Intersective,Color
redondo,ADJ-INT-SHAPE,Adjective,Intersective,Shape
redonda,ADJ-INT-SHAPE,Adjective,Intersective,Shape
redondos,ADJ-INT-SHAPE,Adjective,Intersective,Shape
redondas,ADJ-INT-SHAPE,Adjective,Intersective,Shape
cuadrado,ADJ-INT-SHAPE,Adjective,Intersective,Shape
cuadrada,ADJ-INT-SHAPE,Adjective,Intersective,Shape
cuadrados,ADJ-INT-SHAPE,Adjective,Intersective,Shape
cuadradas,ADJ-INT-SHAPE,Adjective,Intersective,Shape
largo,ADJ-INT-SHAPE,Adjective,Intersective,Shape
larga,ADJ-INT-SHAPE,Adjective,Intersective,Shape
largos,ADJ-INT-SHAPE,Adjective,Intersective,Shape
largas,ADJ-INT-SHAPE,Adjective,Intersective,Shape
corto,ADJ-INT-SHAPE,Adjective,Intersective,Shape
corta,ADJ-INT-SHAPE,Adjective,Intersective,Shape
cortos,ADJ-INT-SHAPE,Adjective,Intersective,Shape
cortas,ADJ-INT-SHAPE,Adjective,Intersective,Shape
grande,ADJ-INT-SHAPE,Adjective,Intersective,Shape
grande,ADJ-INT-SHAPE,Adjective,Intersective,Shape
grandes,ADJ-INT-SHAPE,Adjective,Intersective,Shape
grandes,ADJ-INT-SHAPE,Adjective,Intersective,Shape
pequeño,ADJ-INT-SHAPE,Adjective,Intersective,Shape
pequeña,ADJ-INT-SHAPE,Adjective,Intersective,Shape
pequeños,ADJ-INT-SHAPE,Adjective,Intersective,Shape
pequeñas,ADJ-INT-SHAPE,Adjective,Intersective,Shape
delgado,ADJ-INT-SHAPE,Adjective,Intersective,Shape
delgada,ADJ-INT-SHAPE,Adjective,Intersective,Shape
delgados,ADJ-INT-SHAPE,Adjective,Intersective,Shape
delgadas,ADJ-INT-SHAPE,Adjective,Intersective,Shape
grueso,ADJ-INT-SHAPE,Adjective,Intersective,Shape
gruesa,ADJ-INT-SHAPE,Adjective,Intersective,Shape
gruesos,ADJ-INT-SHAPE,Adjective,Intersective,Shape
gruesas,ADJ-INT-SHAPE,Adjective,Intersective,Shape
plano,ADJ-INT-SHAPE,Adjective,Intersective,Shape
plana,ADJ-INT-SHAPE,Adjective,Intersective,Shape
planos,ADJ-INT-SHAPE,Adjective,Intersective,Shape
planas,ADJ-INT-SHAPE,Adjective,Intersective,Shape
recto,ADJ-INT-SHAPE,Adjective,Intersective,Shape
recta,ADJ-INT-SHAPE,Adjective,Intersective,Shape
rectos,ADJ-INT-SHAPE,Adjective,Intersective,Shape
rectas,ADJ-INT-SHAPE,Adjective,Intersective,Shape
madera,ADJ-INT-MAT,Adjective,Intersective,Material
maderas,ADJ-INT-MAT,Adjective,Intersective,Material
metálico,ADJ-INT-MAT,Adjective,Intersective,Material
metálicos,ADJ-INT-MAT,Adjective,Intersective,Material
plástico,ADJ-INT-MAT,Adjective,Intersective,Material
plásticos,ADJ-INT-MAT,Adjective,Intersective,Material
vidrio,ADJ-INT-MAT,Adjective,Intersective,Material
vidrios,ADJ-INT-MAT,Adjective,Intersective,Material
cuero,ADJ-INT-MAT,Adjective,Intersective,Material
cueros,ADJ-INT-MAT,Adjective,Intersective,Material
papel,ADJ-INT-MAT,Adjective,Intersective,Material
papeles,ADJ-INT-MAT,Adjective,Intersective,Material
cemento,ADJ-INT-MAT,Adjective,Intersective,Material
cementos,ADJ-INT-MAT,Adjective,Intersective,Material
acero,ADJ-INT-MAT,Adjective,Intersective,Material
aceros,ADJ-INT-MAT,Adjective,Intersective,Material
hierro,ADJ-INT-MAT,Adjective,Intersective,Material
hierros,ADJ-INT-MAT,Adjective,Intersective,Material
cobre,ADJ-INT-MAT,Adjective,Intersective,Material
cobres,ADJ-INT-MAT,Adjective,Intersective,Material
grande,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
grandes,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
pequeño,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
pequeños,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
gigante,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
gigantes,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
diminuto,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
diminutos,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
alto,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
altos,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
bajo,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
bajos,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
ancho,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
anchos,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
estrecho,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
estrechos,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
enorme,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
enormes,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
corto,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
cortos,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
viejo,ADJ-NINT-AGE,Adjective,Non-intersective,Age
vieja,ADJ-NINT-AGE,Adjective,Non-intersective,Age
viejos,ADJ-NINT-AGE,Adjective,Non-intersective,Age
viejas,ADJ-NINT-AGE,Adjective,Non-intersective,Age
nuevo,ADJ-NINT-AGE,Adjective,Non-intersective,Age
nueva,ADJ-NINT-AGE,Adjective,Non-intersective,Age
nuevos,ADJ-NINT-AGE,Adjective,Non-intersective,Age
nuevas,ADJ-NINT-AGE,Adjective,Non-intersective,Age
joven,ADJ-NINT-AGE,Adjective,Non-intersective,Age
joven,ADJ-NINT-AGE,Adjective,Non-intersective,Age
jóvenes,ADJ-NINT-AGE,Adjective,Non-intersective,Age
jóvenes,ADJ-NINT-AGE,Adjective,Non-intersective,Age
antiguo,ADJ-NINT-AGE,Adjective,Non-intersective,Age
antigua,ADJ-NINT-AGE,Adjective,Non-intersective,Age
antiguos,ADJ-NINT-AGE,Adjective,Non-intersective,Age
antiguas,ADJ-NINT-AGE,Adjective,Non-intersective,Age
moderno,ADJ-NINT-AGE,Adjective,Non-intersective,Age
moderna,ADJ-NINT-AGE,Adjective,Non-intersective,Age
modernos,ADJ-NINT-AGE,Adjective,Non-intersective,Age
modernas,ADJ-NINT-AGE,Adjective,Non-intersective,Age
histórico,ADJ-NINT-AGE,Adjective,Non-intersective,Age
histórica,ADJ-NINT-AGE,Adjective,Non-intersective,Age
históricos,ADJ-NINT-AGE,Adjective,Non-intersective,Age
históricas,ADJ-NINT-AGE,Adjective,Non-intersective,Age
actual,ADJ-NINT-AGE,Adjective,Non-intersective,Age
actual,ADJ-NINT-AGE,Adjective,Non-intersective,Age
actuales,ADJ-NINT-AGE,Adjective,Non-intersective,Age
actuales,ADJ-NINT-AGE,Adjective,Non-intersective,Age
adulto,ADJ-NINT-AGE,Adjective,Non-intersective,Age
adulta,ADJ-NINT-AGE,Adjective,Non-intersective,Age
adultos,ADJ-NINT-AGE,Adjective,Non-intersective,Age
adultas,ADJ-NINT-AGE,Adjective,Non-intersective,Age
fresco,ADJ-NINT-AGE,Adjective,Non-intersective,Age
fresca,ADJ-NINT-AGE,Adjective,Non-intersective,Age
frescos,ADJ-NINT-AGE,Adjective,Non-intersective,Age
frescas,ADJ-NINT-AGE,Adjective,Non-intersective,Age
maduro,ADJ-NINT-AGE,Adjective,Non-intersective,Age
madura,ADJ-NINT-AGE,Adjective,Non-intersective,Age
maduros,ADJ-NINT-AGE,Adjective,Non-intersective,Age
maduras,ADJ-NINT-AGE,Adjective,Non-intersective,Age
bueno,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
buena,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
buenos,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
buenas,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
malo,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
mala,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
malos,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
malas,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
bonito,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
bonita,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
bonitos,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
bonitas,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
feo,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
fea,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
feos,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
feas,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
rápido,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
rápida,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
rápidos,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
rápidas,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
lento,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
lenta,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
lentos,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
lentas,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
inteligente,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
inteligente,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
inteligentes,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
inteligentes,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
difícil,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
difícil,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
difíciles,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
difíciles,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
fácil,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
fácil,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
fáciles,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
fáciles,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
feliz,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
feliz,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
felices,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
felices,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
