word,tag,category,subcategory,type,gender,number
fills,NOUN-ANIM,Noun,Animate,Animate,M,Plural
filles,NOUN-ANIM,Noun,Animate,Animate,F,Plural
doctor,NOUN-ANIM,Noun,Animate,Animate,M,Singular
doctora,NOUN-ANIM,Noun,Animate,Animate,F,Singular
doctors,NOUN-ANIM,Noun,Animate,Animate,M,Plural
doctores,NOUN-ANIM,Noun,Animate,Animate,F,Plural
lleó,NOUN-ANIM,Noun,Animate,Animate,M,Singular
lleona,NOUN-ANIM,Noun,Animate,Animate,F,Singular
lleons,NOUN-ANIM,Noun,Animate,Animate,M,Plural
lleones,NOUN-ANIM,Noun,Animate,Animate,F,Plural
ós,NOUN-ANIM,Noun,Animate,Animate,M,Singular
ossa,NOUN-ANIM,Noun,Animate,Animate,F,Singular
ossos,NOUN-ANIM,Noun,Animate,Animate,M,Plural
osses,NOUN-ANIM,Noun,Animate,Animate,F,Plural
empleat,NOUN-ANIM,Noun,Animate,Animate,M,Singular
empleada,NOUN-ANIM,Noun,Animate,Animate,F,Singular
empleats,NOUN-ANIM,Noun,Animate,Animate,M,Plural
empleades,NOUN-ANIM,Noun,Animate,Animate,F,Plural
veí,NOUN-ANIM,Noun,Animate,Animate,M,Singular
veïna,NOUN-ANIM,Noun,Animate,Animate,F,Singular
veïns,NOUN-ANIM,Noun,Animate,Animate,M,Plural
veïnes,NOUN-ANIM,Noun,Animate,Animate,F,Plural
autor,NOUN-ANIM,Noun,Animate,Animate,M,Singular
autora,NOUN-ANIM,Noun,Animate,Animate,F,Singular
autors,NOUN-ANIM,Noun,Animate,Animate,M,Plural
autores,NOUN-ANIM,Noun,Animate,Animate,F,Plural
espòs,NOUN-ANIM,Noun,Animate,Animate,M,Singular
esposa,NOUN-ANIM,Noun,Animate,Animate,F,Singular
esposos,NOUN-ANIM,Noun,Animate,Animate,M,Plural
esposes,NOUN-ANIM,Noun,Animate,Animate,F,Plural
cap,NOUN-ANIM,Noun,Animate,Animate,M,Singular
capa,NOUN-ANIM,Noun,Animate,Animate,F,Singular
caps,NOUN-ANIM,Noun,Animate,Animate,M,Plural
capes,NOUN-ANIM,Noun,Animate,Animate,F,Plural
cosí,NOUN-ANIM,Noun,Animate,Animate,M,Singular
cosina,NOUN-ANIM,Noun,Animate,Animate,F,Singular
cosins,NOUN-ANIM,Noun,Animate,Animate,M,Plural
cosines,NOUN-ANIM,Noun,Animate,Animate,F,Plural
padrí,NOUN-ANIM,Noun,Animate,Animate,M,Singular
padrina,NOUN-ANIM,Noun,Animate,Animate,F,Singular
padrins,NOUN-ANIM,Noun,Animate,Animate,M,Plural
padrines,NOUN-ANIM,Noun,Animate,Animate,F,Plural
ciec,NOUN-ANIM,Noun,Animate,Animate,M,Singular
ciega,NOUN-ANIM,Noun,Animate,Animate,F,Singular
ciecs,NOUN-ANIM,Noun,Animate,Animate,M,Plural
ciegues,NOUN-ANIM,Noun,Animate,Animate,F,Plural
coix,NOUN-ANIM,Noun,Animate,Animate,M,Singular
coixa,NOUN-ANIM,Noun,Animate,Animate,F,Singular
coixos,NOUN-ANIM,Noun,Animate,Animate,M,Plural
coixes,NOUN-ANIM,Noun,Animate,Animate,F,Plural
sogre,NOUN-ANIM,Noun,Animate,Animate,M,Singular
sogra,NOUN-ANIM,Noun,Animate,Animate,F,Singular
sogres,NOUN-ANIM,Noun,Animate,Animate,M,Plural
sogres,NOUN-ANIM,Noun,Animate,Animate,F,Plural
actor,NOUN-ANIM,Noun,Animate,Animate,M,Singular
actriu,NOUN-ANIM,Noun,Animate,Animate,F,Singular
actors,NOUN-ANIM,Noun,Animate,Animate,M,Plural
actrius,NOUN-ANIM,Noun,Animate,Animate,F,Plural
mestre,NOUN-ANIM,Noun,Animate,Animate,M,Singular
mestra,NOUN-ANIM,Noun,Animate,Animate,F,Singular
mestres,NOUN-ANIM,Noun,Animate,Animate,M,Plural
mestres,NOUN-ANIM,Noun,Animate,Animate,F,Plural
jove,NOUN-ANIM,Noun,Animate,Animate,M,Singular
jove,NOUN-ANIM,Noun,Animate,Animate,F,Singular
joves,NOUN-ANIM,Noun,Animate,Animate,M,Plural
joves,NOUN-ANIM,Noun,Animate,Animate,F,Plural
taula,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
taules,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
cadira,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
cadires,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
llibre,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
llibres,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
bolígraf,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
bolígrafs,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
ordinador,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
ordinadors,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
telèfon,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
telèfons,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
cotxe,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
cotxes,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
porta,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
portes,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
finestra,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
finestres,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
ulleres,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
ulleres,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
rellotge,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
rellotges,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
got,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
gots,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
plat,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
plats,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
forquilla,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
forquilles,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
cullera,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
culleres,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
ganivet,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
ganivets,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
sabata,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
sabates,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
bossa,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
bosses,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
jaqueta,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
jaquetes,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
camisa,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
camises,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
pantalons,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
pantalons,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
barret,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
barrets,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
clau,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
claus,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
llum,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
llums,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
televisor,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
televisors,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
ràdio,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
ràdios,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
càmera,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
càmeres,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
auricular,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
auriculars,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
coixí,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
coixins,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
manta,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Singular
mantes,NOUN-INANIM-OBJECT,Noun,Inanimate,Object,N/A,Plural
reunió,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Singular
reunions,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Plural
casament,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Singular
casaments,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Plural
concert,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Singular
concerts,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Plural
partit,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Singular
partits,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Plural
competició,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Singular
competicions,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Plural
festival,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Singular
festivals,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Plural
vacances,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Singular
vacances,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Plural
aniversari,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Singular
aniversaris,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Plural
funeral,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Singular
 funerals,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Plural
exposició,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Singular
exposicions,NOUN-INANIM-EVT,Noun,Inanimate,Event,N/A,Plural
roig,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Singular
roja,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Singular
rojos,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Plural
rojes,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Plural
blau,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Singular
blava,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Singular
blaus,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Plural
blaves,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Plural
verd,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Singular
verda,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Singular
verds,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Plural
verdes,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Plural
groc,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Singular
groga,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Singular
grocs,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Plural
grogues,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Plural
negre,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Singular
negra,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Singular
negres,ADJ-INT-COLOR,Adjective,Intersective,Color,N/A,Plural
blanc,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Singular
blanca,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Singular
blancs,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Plural
blanques,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Plural
morat,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Singular
morada,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Singular
morats,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Plural
morades,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Plural
taronja,ADJ-INT-COLOR,Adjective,Intersective,Color,N/A,Singular
taronges,ADJ-INT-COLOR,Adjective,Intersective,Color,N/A,Plural
rosa,ADJ-INT-COLOR,Adjective,Intersective,Color,N/A,Singular
roses,ADJ-INT-COLOR,Adjective,Intersective,Color,N/A,Plural
gris,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Singular
grisa,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Singular
grisos,ADJ-INT-COLOR,Adjective,Intersective,Color,M,Plural
grises,ADJ-INT-COLOR,Adjective,Intersective,Color,F,Plural
rodó,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Singular
rodona,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Singular
rodons,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Plural
rodones,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Plural
quadrat,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Singular
quadrada,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Singular
quadrats,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Plural
quadrades,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Plural
llarg,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Singular
llarga,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Singular
llargs,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Plural
llargues,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Plural
curt,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Singular
curta,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Singular
curts,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Plural
curtes,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Plural
gran,ADJ-INT-SHAPE,Adjective,Intersective,Shape,N/A,Singular
grans,ADJ-INT-SHAPE,Adjective,Intersective,Shape,N/A,Plural
petit,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Singular
petita,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Singular
petits,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Plural
petites,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Plural
prim,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Singular
prima,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Singular
prims,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Plural
primes,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Plural
gruixut,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Singular
gruixuda,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Singular
gruixuts,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Plural
gruixudes,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Plural
pla,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Singular
plana,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Singular
plans,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Plural
planes,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Plural
recte,ADJ-INT-SHAPE,Adjective,Intersective,Shape,M,Singular
recta,ADJ-INT-SHAPE,Adjective,Intersective,Shape,F,Singular
rectes,ADJ-INT-SHAPE,Adjective,Intersective,Shape,N/A,Plural
fusta,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Singular
fustes,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Plural
metàl·lic,ADJ-INT-MAT,Adjective,Intersective,Material,M,Singular
metàl·lica,ADJ-INT-MAT,Adjective,Intersective,Material,F,Singular
metàl·lics,ADJ-INT-MAT,Adjective,Intersective,Material,M,Plural
metàl·liques,ADJ-INT-MAT,Adjective,Intersective,Material,F,Plural
plàstic,ADJ-INT-MAT,Adjective,Intersective,Material,M,Singular
plàstica,ADJ-INT-MAT,Adjective,Intersective,Material,F,Singular
plàstics,ADJ-INT-MAT,Adjective,Intersective,Material,M,Plural
plàstiques,ADJ-INT-MAT,Adjective,Intersective,Material,F,Plural
vidre,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Singular
vidres,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Plural
cuir,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Singular
cuirs,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Plural
paper,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Singular
papers,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Plural
ciment,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Singular
ciments,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Plural
acer,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Singular
acers,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Plural
ferro,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Singular
ferros,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Plural
coure,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Singular
coures,ADJ-INT-MAT,Adjective,Intersective,Material,N/A,Plural
gran,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,N/A,Singular
grans,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,N/A,Plural
petit,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Singular
petita,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Singular
petits,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Plural
petites,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Plural
gegant,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,N/A,Singular
gegants,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,N/A,Plural
diminut,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Singular
diminuta,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Singular
diminuts,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Plural
diminutes,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Plural
alt,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Singular
alta,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Singular
alts,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Plural
altes,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Plural
baix,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Singular
baixa,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Singular
baixos,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Plural
baixes,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Plural
ample,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Singular
ampla,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Singular
amples,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,N/A,Plural
estret,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Singular
estreta,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Singular
estrets,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Plural
estret,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Plural
enorme,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,N/A,Singular
enormes,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,N/A,Plural
curt,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Singular
curta,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Singular
curts,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,M,Plural
curtes,ADJ-NINT-SIZE,Adjective,Non-intersective,Size,F,Plural
vell,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Singular
vella,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Singular
vells,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Plural
velles,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Plural
nou,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Singular
nova,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Singular
nous,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Plural
noves,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Plural
jove,ADJ-NINT-AGE,Adjective,Non-intersective,Age,N/A,Singular
joves,ADJ-NINT-AGE,Adjective,Non-intersective,Age,N/A,Plural
antic,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Singular
antiga,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Singular
antics,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Plural
antigues,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Plural
modern,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Singular
moderna,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Singular
moderns,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Plural
modernes,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Plural
històric,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Singular
històrica,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Singular
històrics,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Plural
històriques,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Plural
actual,ADJ-NINT-AGE,Adjective,Non-intersective,Age,N/A,Singular
actuals,ADJ-NINT-AGE,Adjective,Non-intersective,Age,N/A,Plural
adult,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Singular
adulta,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Singular
adults,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Plural
adultes,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Plural
fresc,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Singular
fresca,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Singular
frescs,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Plural
fresques,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Plural
madur,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Singular
madura,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Singular
madurs,ADJ-NINT-AGE,Adjective,Non-intersective,Age,M,Plural
madures,ADJ-NINT-AGE,Adjective,Non-intersective,Age,F,Plural
bo,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Singular
bona,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Singular
bons,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Plural
bones,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Plural
dolent,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Singular
dolenta,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Singular
dolents,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Plural
dolentes,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Plural
bonic,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Singular
bonica,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Singular
bonics,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Plural
boniques,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Plural
lleig,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Singular
lletja,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Singular
lletjos,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Plural
lletges,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Plural
ràpid,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Singular
ràpida,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Singular
ràpids,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Plural
ràpides,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Plural
lent,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Singular
lenta,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Singular
lents,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,M,Plural
lentes,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,F,Plural
intel·ligent,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,N/A,Singular
intel·ligents,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,N/A,Plural
difícil,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,N/A,Singular
difícils,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,N/A,Plural
fàcil,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,N/A,Singular
fàcils,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,N/A,Plural
feliç,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier,N/A,Singular
